"Row.ID","Order.ID","Order.Date","Ship.Date","Ship.Mode","Customer.ID","Customer.Name","Segment","Country","City","State","Postal.Code","Region","Product.ID","Category","Sub.Category","Product.Name","Sales","discount","transactionSalesDecileRank","cleanOrderDate","weekdays","month","yr"
37,"CA-2017-117590","08/12/2017","10/12/2017","First Class","GH-14485","Gene Hale","Corporate","United States","Richardson","Texas",75080,"Central","FUR-FU-10003664","Furniture","Furnishings","Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,4.73199603510513,8,2017-12-08,"Friday",12,2017
38,"CA-2016-117415","27/12/2016","31/12/2016","Standard Class","SN-20710","Steve Nguyen","Home Office","United States","Houston","Texas",77041,"Central","OFF-EN-10002986","Office Supplies","Envelopes","#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,4.81590068079,7,2016-12-27,"Tuesday",12,2016
39,"CA-2016-117415","27/12/2016","31/12/2016","Standard Class","SN-20710","Steve Nguyen","Home Office","United States","Houston","Texas",77041,"Central","FUR-BO-10002545","Furniture","Bookcases","Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,4.92057061412363,9,2016-12-27,"Tuesday",12,2016
40,"CA-2016-117415","27/12/2016","31/12/2016","Standard Class","SN-20710","Steve Nguyen","Home Office","United States","Houston","Texas",77041,"Central","FUR-CH-10004218","Furniture","Chairs","Global Fabric Manager's Chair, Dark Gray",212.058,4.90341024595939,8,2016-12-27,"Tuesday",12,2016
41,"CA-2016-117415","27/12/2016","31/12/2016","Standard Class","SN-20710","Steve Nguyen","Home Office","United States","Houston","Texas",77041,"Central","TEC-PH-10000486","Technology","Phones","Plantronics HL10 Handset Lifter",371.168,5.09494962652871,9,2016-12-27,"Tuesday",12,2016
42,"CA-2018-120999","10/09/2018","15/09/2018","Standard Class","LC-16930","Linda Cazamias","Corporate","United States","Naperville","Illinois",60540,"Central","TEC-PH-10004093","Technology","Phones","Panasonic Kx-TS550",147.168,4.84313572763254,7,2018-09-10,"Monday",9,2018
43,"CA-2017-101343","17/07/2017","22/07/2017","Standard Class","RA-19885","Ruben Ausman","Corporate","United States","Los Angeles","California",90049,"West","OFF-ST-10003479","Office Supplies","Storage","Eldon Base for stackable storage shelf, platinum",77.88,4.86446353662625,6,2017-07-17,"Monday",7,2017
44,"CA-2018-139619","19/09/2018","23/09/2018","Standard Class","ES-14080","Erin Smith","Corporate","United States","Melbourne","Florida",32935,"South","OFF-ST-10003282","Office Supplies","Storage","Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,4.92193769980426,7,2018-09-19,"Wednesday",9,2018
45,"CA-2017-118255","11/03/2017","13/03/2017","First Class","ON-18715","Odella Nelson","Corporate","United States","Eagan","Minnesota",55122,"Central","TEC-AC-10000171","Technology","Accessories","Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,4.85056599237043,5,2017-03-11,"Saturday",3,2017
46,"CA-2017-118255","11/03/2017","13/03/2017","First Class","ON-18715","Odella Nelson","Corporate","United States","Eagan","Minnesota",55122,"Central","OFF-BI-10003291","Office Supplies","Binders","Wilson Jones Leather-Like Binders with DublLock Round Rings",17.46,4.8531485682128,3,2017-03-11,"Saturday",3,2017
47,"CA-2015-146703","20/10/2015","25/10/2015","Second Class","PO-18865","Patrick O'Donnell","Consumer","United States","Westland","Michigan",48185,"Central","OFF-ST-10001713","Office Supplies","Storage","Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4.83926818073582,8,2015-10-20,"Tuesday",10,2015
48,"CA-2017-169194","20/06/2017","25/06/2017","Standard Class","LH-16900","Lena Hernandez","Consumer","United States","Dover","Delaware",19901,"East","TEC-AC-10002167","Technology","Accessories","Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive",45,4.82480141143611,5,2017-06-20,"Tuesday",6,2017
49,"CA-2017-169194","20/06/2017","25/06/2017","Standard Class","LH-16900","Lena Hernandez","Consumer","United States","Dover","Delaware",19901,"East","TEC-PH-10003988","Technology","Phones","LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,4.89761718810126,4,2017-06-20,"Tuesday",6,2017
50,"CA-2016-115742","18/04/2016","22/04/2016","Standard Class","DP-13000","Darren Powers","Consumer","United States","New Albany","Indiana",47150,"Central","OFF-BI-10004410","Office Supplies","Binders","C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,4.90031500427333,5,2016-04-18,"Monday",4,2016
51,"CA-2016-115742","18/04/2016","22/04/2016","Standard Class","DP-13000","Darren Powers","Consumer","United States","New Albany","Indiana",47150,"Central","OFF-LA-10002762","Office Supplies","Labels","Avery 485",75.18,4.76939687431981,6,2016-04-18,"Monday",4,2016
52,"CA-2016-115742","18/04/2016","22/04/2016","Standard Class","DP-13000","Darren Powers","Consumer","United States","New Albany","Indiana",47150,"Central","FUR-FU-10001706","Furniture","Furnishings","Longer-Life Soft White Bulbs",6.16,4.89179240753107,1,2016-04-18,"Monday",4,2016
53,"CA-2016-115742","18/04/2016","22/04/2016","Standard Class","DP-13000","Darren Powers","Consumer","United States","New Albany","Indiana",47150,"Central","FUR-CH-10003061","Furniture","Chairs","Global Leather Task Chair, Black",89.99,4.83911103755732,7,2016-04-18,"Monday",4,2016
54,"CA-2017-105816","11/12/2017","17/12/2017","Standard Class","JM-15265","Janet Molinari","Corporate","United States","New York City","New York",10024,"East","OFF-FA-10000304","Office Supplies","Fasteners","Advantus Push Pins",15.26,4.8485037990508,3,2017-12-11,"Monday",12,2017
55,"CA-2017-105816","11/12/2017","17/12/2017","Standard Class","JM-15265","Janet Molinari","Corporate","United States","New York City","New York",10024,"East","TEC-PH-10002447","Technology","Phones","AT&T CL83451 4-Handset Telephone",1029.95,4.93376904764432,10,2017-12-11,"Monday",12,2017
56,"CA-2017-111682","17/06/2017","18/06/2017","First Class","TB-21055","Ted Butterfield","Consumer","United States","Troy","New York",12180,"East","OFF-ST-10000604","Office Supplies","Storage","Home/Office Personal File Carts",208.56,5.00630558189945,8,2017-06-17,"Saturday",6,2017
57,"CA-2017-111682","17/06/2017","18/06/2017","First Class","TB-21055","Ted Butterfield","Consumer","United States","Troy","New York",12180,"East","OFF-PA-10001569","Office Supplies","Paper","Xerox 232",32.4,5.11478174728151,4,2017-06-17,"Saturday",6,2017
58,"CA-2017-111682","17/06/2017","18/06/2017","First Class","TB-21055","Ted Butterfield","Consumer","United States","Troy","New York",12180,"East","FUR-CH-10003968","Furniture","Chairs","Novimex Turbo Task Chair",319.41,4.87266465760563,9,2017-06-17,"Saturday",6,2017
59,"CA-2017-111682","17/06/2017","18/06/2017","First Class","TB-21055","Ted Butterfield","Consumer","United States","Troy","New York",12180,"East","OFF-PA-10000587","Office Supplies","Paper","Array Parchment Paper, Assorted Colors",14.56,5.11059096288573,3,2017-06-17,"Saturday",6,2017
60,"CA-2017-111682","17/06/2017","18/06/2017","First Class","TB-21055","Ted Butterfield","Consumer","United States","Troy","New York",12180,"East","TEC-AC-10002167","Technology","Accessories","Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive",30,4.83421914523056,4,2017-06-17,"Saturday",6,2017
61,"CA-2017-111682","17/06/2017","18/06/2017","First Class","TB-21055","Ted Butterfield","Consumer","United States","Troy","New York",12180,"East","OFF-BI-10001460","Office Supplies","Binders","Plastic Binding Combs",48.48,5.01565884643328,5,2017-06-17,"Saturday",6,2017
62,"CA-2017-111682","17/06/2017","18/06/2017","First Class","TB-21055","Ted Butterfield","Consumer","United States","Troy","New York",12180,"East","OFF-AR-10001868","Office Supplies","Art","Prang Dustless Chalk Sticks",1.68,5.20489910707179,1,2017-06-17,"Saturday",6,2017
63,"CA-2016-135545","24/11/2016","30/11/2016","Standard Class","KM-16720","Kunst Miller","Consumer","United States","Los Angeles","California",90004,"West","TEC-AC-10004633","Technology","Accessories","Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,4.94652396101962,3,2016-11-24,"Thursday",11,2016
64,"CA-2016-135545","24/11/2016","30/11/2016","Standard Class","KM-16720","Kunst Miller","Consumer","United States","Los Angeles","California",90004,"West","OFF-BI-10001078","Office Supplies","Binders","Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,4.8830366420338,4,2016-11-24,"Thursday",11,2016
65,"CA-2016-135545","24/11/2016","30/11/2016","Standard Class","KM-16720","Kunst Miller","Consumer","United States","Los Angeles","California",90004,"West","OFF-PA-10003892","Office Supplies","Paper","Xerox 1943",146.73,4.9492395244289,7,2016-11-24,"Thursday",11,2016
66,"CA-2016-135545","24/11/2016","30/11/2016","Standard Class","KM-16720","Kunst Miller","Consumer","United States","Los Angeles","California",90004,"West","FUR-FU-10000397","Furniture","Furnishings","Luxo Economy Swing Arm Lamp",79.76,5.12770844481434,6,2016-11-24,"Thursday",11,2016
67,"US-2016-164175","30/04/2016","05/05/2016","Standard Class","PS-18970","Paul Stevenson","Home Office","United States","Chicago","Illinois",60610,"Central","FUR-CH-10001146","Furniture","Chairs","Global Value Mid-Back Manager's Chair, Gray",213.115,4.83613922632491,8,2016-04-30,"Saturday",4,2016
68,"CA-2015-106376","05/12/2015","10/12/2015","Standard Class","BS-11590","Brendan Sweed","Corporate","United States","Gilbert","Arizona",85234,"West","OFF-AR-10002671","Office Supplies","Art","Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,5.08678271794233,10,2015-12-05,"Saturday",12,2015
69,"CA-2015-106376","05/12/2015","10/12/2015","Standard Class","BS-11590","Brendan Sweed","Corporate","United States","Gilbert","Arizona",85234,"West","TEC-PH-10002726","Technology","Phones","netTALK DUO VoIP Telephone Service",167.968,5.08295647907824,8,2015-12-05,"Saturday",12,2015
70,"CA-2017-119823","04/06/2017","06/06/2017","First Class","KD-16270","Karen Daniels","Consumer","United States","Springfield","Virginia",22153,"South","OFF-PA-10000482","Office Supplies","Paper","Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,4.98364727972038,6,2017-06-04,"Sunday",6,2017
71,"CA-2017-106075","18/09/2017","23/09/2017","Standard Class","HM-14980","Henry MacAllister","Consumer","United States","New York City","New York",10009,"East","OFF-BI-10004654","Office Supplies","Binders","Avery Binding System Hidden Tab Executive Style Index Sets",4.616,4.9506892838442,1,2017-09-18,"Monday",9,2017
72,"CA-2018-114440","14/09/2018","17/09/2018","Second Class","TB-21520","Tracy Blumstein","Consumer","United States","Jackson","Michigan",49201,"Central","OFF-PA-10004675","Office Supplies","Paper","Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,4.90445312618386,3,2018-09-14,"Friday",9,2018
73,"US-2016-134026","26/04/2016","02/05/2016","Standard Class","JE-15745","Joel Eaton","Consumer","United States","Memphis","Tennessee",38109,"South","FUR-CH-10000513","Furniture","Chairs","High-Back Leather Manager's Chair",831.936,4.91334760671261,10,2016-04-26,"Tuesday",4,2016
74,"US-2016-134026","26/04/2016","02/05/2016","Standard Class","JE-15745","Joel Eaton","Consumer","United States","Memphis","Tennessee",38109,"South","FUR-FU-10003708","Furniture","Furnishings","Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,5.01482865675032,7,2016-04-26,"Tuesday",4,2016
75,"US-2016-134026","26/04/2016","02/05/2016","Standard Class","JE-15745","Joel Eaton","Consumer","United States","Memphis","Tennessee",38109,"South","OFF-ST-10004123","Office Supplies","Storage","Safco Industrial Wire Shelving System",72.784,5.15702708613309,6,2016-04-26,"Tuesday",4,2016
76,"US-2018-118038","09/12/2018","11/12/2018","First Class","KB-16600","Ken Brennan","Corporate","United States","Houston","Texas",77041,"Central","OFF-BI-10004182","Office Supplies","Binders","Economy Binders",1.248,4.9346601587533,1,2018-12-09,"Sunday",12,2018
77,"US-2018-118038","09/12/2018","11/12/2018","First Class","KB-16600","Ken Brennan","Corporate","United States","Houston","Texas",77041,"Central","FUR-FU-10000260","Furniture","Furnishings","6"" Cubicle Wall Clock, Black",9.708,4.81092990532985,2,2018-12-09,"Sunday",12,2018
78,"US-2018-118038","09/12/2018","11/12/2018","First Class","KB-16600","Ken Brennan","Corporate","United States","Houston","Texas",77041,"Central","OFF-ST-10000615","Office Supplies","Storage","SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,4.87764182228899,4,2018-12-09,"Sunday",12,2018
79,"US-2015-147606","26/11/2015","01/12/2015","Second Class","JE-15745","Joel Eaton","Consumer","United States","Houston","Texas",77070,"Central","FUR-FU-10003194","Furniture","Furnishings","Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,4.97582617621679,3,2015-11-26,"Thursday",11,2015
80,"CA-2017-127208","12/06/2017","15/06/2017","First Class","SC-20770","Stewart Carmichael","Corporate","United States","Decatur","Alabama",35601,"South","OFF-AP-10002118","Office Supplies","Appliances","1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,4.91829408850388,8,2017-06-12,"Monday",6,2017
81,"CA-2017-127208","12/06/2017","15/06/2017","First Class","SC-20770","Stewart Carmichael","Corporate","United States","Decatur","Alabama",35601,"South","OFF-BI-10002309","Office Supplies","Binders","Avery Heavy-Duty EZD  Binder With Locking Rings",16.74,4.93222100423357,3,2017-06-12,"Monday",6,2017
82,"CA-2015-139451","12/10/2015","16/10/2015","Standard Class","DN-13690","Duane Noonan","Consumer","United States","San Francisco","California",94122,"West","OFF-AR-10002053","Office Supplies","Art","Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,4.93300059231455,3,2015-10-12,"Monday",10,2015
83,"CA-2015-139451","12/10/2015","16/10/2015","Standard Class","DN-13690","Duane Noonan","Consumer","United States","San Francisco","California",94122,"West","OFF-ST-10002370","Office Supplies","Storage","Sortfiler Multipurpose Personal File Organizer, Black",21.39,4.81276981141233,3,2015-10-12,"Monday",10,2015
84,"CA-2016-149734","03/09/2016","08/09/2016","Standard Class","JC-16105","Julie Creighton","Corporate","United States","Durham","North Carolina",27707,"South","OFF-EN-10000927","Office Supplies","Envelopes","Jet-Pak Recycled Peel 'N' Seal Padded Mailers",200.984,4.9326212829586,8,2016-09-03,"Saturday",9,2016
85,"US-2018-119662","13/11/2018","16/11/2018","First Class","CS-12400","Christopher Schild","Home Office","United States","Chicago","Illinois",60623,"Central","OFF-ST-10003656","Office Supplies","Storage","Safco Industrial Wire Shelving",230.376,5.03502322571219,8,2018-11-13,"Tuesday",11,2018
86,"CA-2018-140088","28/05/2018","30/05/2018","Second Class","PO-18865","Patrick O'Donnell","Consumer","United States","Columbia","South Carolina",29203,"South","FUR-CH-10000863","Furniture","Chairs","Novimex Swivel Fabric Task Chair",301.96,5.01976087116683,9,2018-05-28,"Monday",5,2018
87,"CA-2018-155558","26/10/2018","02/11/2018","Standard Class","PG-18895","Paul Gonzalez","Consumer","United States","Rochester","Minnesota",55901,"Central","TEC-AC-10001998","Technology","Accessories","Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired",19.99,5.00499973510911,3,2018-10-26,"Friday",10,2018
88,"CA-2018-155558","26/10/2018","02/11/2018","Standard Class","PG-18895","Paul Gonzalez","Consumer","United States","Rochester","Minnesota",55901,"Central","OFF-LA-10000134","Office Supplies","Labels","Avery 511",6.16,4.90972680245524,1,2018-10-26,"Friday",10,2018
89,"CA-2017-159695","05/04/2017","10/04/2017","Second Class","GM-14455","Gary Mitchum","Home Office","United States","Houston","Texas",77095,"Central","OFF-ST-10003442","Office Supplies","Storage","Eldon Portable Mobile Manager",158.368,4.93084062295215,7,2017-04-05,"Wednesday",4,2017
90,"CA-2017-109806","17/09/2017","22/09/2017","Standard Class","JS-15685","Jim Sink","Corporate","United States","Los Angeles","California",90036,"West","OFF-AR-10004930","Office Supplies","Art","Turquoise Lead Holder with Pocket Clip",20.1,4.83054721203975,3,2017-09-17,"Sunday",9,2017
91,"CA-2017-109806","17/09/2017","22/09/2017","Standard Class","JS-15685","Jim Sink","Corporate","United States","Los Angeles","California",90036,"West","TEC-PH-10004093","Technology","Phones","Panasonic Kx-TS550",73.584,4.94468411812567,6,2017-09-17,"Sunday",9,2017
92,"CA-2017-109806","17/09/2017","22/09/2017","Standard Class","JS-15685","Jim Sink","Corporate","United States","Los Angeles","California",90036,"West","OFF-PA-10000304","Office Supplies","Paper","Xerox 1995",6.48,4.97551960009958,1,2017-09-17,"Sunday",9,2017
93,"CA-2016-149587","31/01/2016","05/02/2016","Second Class","KB-16315","Karl Braun","Consumer","United States","Minneapolis","Minnesota",55407,"Central","OFF-PA-10003177","Office Supplies","Paper","Xerox 1999",12.96,5.12059640072401,2,2016-01-31,"Sunday",1,2016
