"FirstName","LastName","lat","lon","county","city","state","LandValue","DwellingUnitSize","PropertyType","EstHomeValue"
"Belinda","Blanda",47.59439,-112.12362,"Teton County","Big Coulee Drop","Montana","$14000","1-Single Family Dwelling","Residential","$107529"
"Felice","Rogahn",39.36726,-76.71556,"Baltimore County","Pikesville","Maryland","$11000","1-Single Family Dwelling","Residential","$102900"
"Nathanial","Kihn",47.00704,-122.91736,"Thurston County","Tumwater","Washington","","1-Single Family Dwelling","Apartment/Group Living","$162239"
"Natalia","Spencer",45.30806,-89.0618,"Langlade County","Pearson","Wisconsin","$4000","1-Single Family Dwelling","Residential","$236800"
"Jeffry","Kulas",41.99026,-94.39469,"Greene County","Jefferson","Iowa","$9000","1-Single Family Dwelling","Residential","$269400"
"Darron","Casper",44.19484,-123.5351,"Lane County","Blachly","Oregon","$16000","1-Single Family Dwelling","Apartment/Group Living","$137405"
"Venessa","Hagenes",44.5758,-91.51905,"Trempealeau County","Eleva","Wisconsin","","1-Single Family Dwelling","Residential","$74900"
"Maryann","Pagac",36.45375,-80.37617,"Stokes County","Brown Mountain","North Carolina","$6000","1-Single Family Dwelling","Residential","$116421"
"Agnus","Schmidt",38.4833,-77.4092,"Stafford County","Aquia Harbour","Virginia","$17000","1-Single Family Dwelling","Residential","$186200"
"Quintin","Heaney",40.36037,-76.4583,"Lebanon County","Lebanon","Pennsylvania","","1-Single Family Dwelling","Residential","$109300"
"Gregory","Grimes",46.19753,-69.81395,"Somerset County","North Branch Spruce Brook","Maine","","","Residential","$156400"
"Leif","Gulgowski",39.79757,-81.27622,"Monroe County","Brister","Ohio","","1-Single Family Dwelling","Residential","$127100"
"Alvaro","Hermiston",45.09497,-92.73437,"Saint Croix County","Stillwater","Wisconsin","$4000","1-Single Family Dwelling","Residential","$178100"
"Nanci","Armstrong",39.1866,-105.53769,"Park County","Farnum Ditch","Colorado","$9000","1-Single Family Dwelling","Residential","$95312"
"Tobi","Orn",42.88861,-90.81611,"Grant County","Flora Fountain","Wisconsin","","1-Single Family Dwelling","Residential","$116421"
"Shena","Walter",48.33916,-109.74381,"Hill County","Azure","Montana","$7000","1-Single Family Dwelling","Condominium","$212500"
"Armando","Price",47.8886,-97.92565,"Nelson County","Lion Church","North Dakota","$18000","1-Single Family Dwelling","Residential","$131943"
"Major","Jewess",38.1529,-76.5094,"Saint Mary's County","Piney Point","Maryland","$17000","","Apartment/Group Living","$271980"
"Patrina","Goyette",38.32443,-111.89269,"Piute County","Pine Peaks","Utah","$14000","1-Single Family Dwelling","Residential","$170800"
"Lynn","Lowe",45.83318,-120.2031,"Klickitat County","Whitmore Ranch","Washington","$11000","1-Single Family Dwelling","Residential","$66500"
"Julietta","Rodriguez",37.95202,-83.9777,"Montgomery County","New Providence (historical)","Kentucky","$5000","1-Single Family Dwelling","Residential","$170967"
"Earle","Hettinger",33.56622,-84.53687,"Fulton County","Union City","Georgia","","1-Single Family Dwelling","Residential","$156700"
"Mel","Hahn",41.71323,-116.3426,"Elko County","Rawhide Reservoir","Nevada","$17000","1-Single Family Dwelling","Residential","$145500"
"Fernando","Sawayn",44.06005,-96.46831,"Moody County","Pleasant Valley Colony","South Dakota","$23000","1-Single Family Dwelling","Residential","$149700"
"Yasuko","Pollich",39.35982,-77.55443,"Frederick County","Jefferson","Maryland","$29000","","Residential","$302300"
"Jimmie","Bahringer",35.57335,-108.73342,"McKinley County","Gallup","New Mexico","$2000","1-Single Family Dwelling","Residential","$126500"
"Rico","Fritsch",37.44588,-87.19777,"McLean County","Livermore","Kentucky","$27000","1-Single Family Dwelling","Residential","$404000"
"Roland","Watsica",40.24507,-79.53698,"Westmoreland County","Greensburg","Pennsylvania","$7000","1-Single Family Dwelling","Residential","$100800"
"Marg","Mante",44.72242,-111.38829,"Fremont County","Lake","Idaho","$16000","1-Single Family Dwelling","Residential","$222600"
"Dennis","D'Amore",37.29347,-79.85254,"Roanoke County","Vinton","Virginia","$2000","","Residential","$209600"
"Xiomara","Douglas",43.70179,-122.21782,"Lane County","McCredie Springs","Oregon","$7000","1-Single Family Dwelling","Residential","$232400"
"Elfreda","Bayer",39.40267,-91.47065,"Ralls County","Madisonville","Missouri","","1-Single Family Dwelling","Residential","$81100"
"Scarlett","Hane",36.66431,-78.57028,"Mecklenburg County","Clarksville","Virginia","$4000","1-Single Family Dwelling","Residential","$201900"
"Cornell","Jacobson",47.07077,-112.92144,"Powell County","Big Nelson Campground","Montana","$24000","1-Single Family Dwelling","Residential","$112500"
"Jeremiah","Pfeffer",35.6153,-107.69895,"McKinley County","Voght Place","New Mexico","$20000","1-Single Family Dwelling","Residential","$488600"
"Jackie","Daniel",38.62089,-90.5304,"Saint Louis County","Ballwin","Missouri","$8000","20-49","Residential","$153300"
"Sherie","Little",46.97663,-109.9952,"Judith Basin County","Philbrook (historical)","Montana","","1-Single Family Dwelling","Residential","$262500"
"Myron","Marvin",35.6998,-92.77906,"Van Buren County","Ella (historical)","Arkansas","$15000","","Residential","$87100"
"Dyan","Cormier",44.17305,-87.56036,"Manitowoc County","Two Rivers","Wisconsin","$10000","","Residential","$146500"
"Brooke","Stroman",41.81518,-116.00982,"Elko County","Patsville","Nevada","$15000","1-Single Family Dwelling","Residential","$373400"
"Trinidad","Hoeger",30.56297,-87.19997,"Santa Rosa County","Ferry Pass","Florida","$17000","1-Single Family Dwelling","Residential","$227500"
"Natashia","Wiegand",44.88082,-100.95098,"Dewey County","Hosupa Creek","South Dakota","$9000","1-Single Family Dwelling","Residential","$109300"
"Rey","Trantow",44.59284,-70.22812,"Franklin County","Wilton","Maine","$3000","1-Single Family Dwelling","Residential","$271980"
"Don","Jones",38.78428,-77.14554,"Fairfax County","Franconia","Virginia","$31000","1-Single Family Dwelling","Triplex","$76700"
"Blake","Leffler",43.49138,-88.60705,"Dodge County","Mayville","Wisconsin","$13000","1-Single Family Dwelling","Residential","$162500"
"Arminda","Nolan",35.40503,-108.25035,"McKinley County","Thoreau","New Mexico","$4000","1-Single Family Dwelling","Residential","$191400"
"Raylene","Streich",33.27534,-109.10646,"Greenlee County","Upper Oak Spring","Arizona","$17000","1-Single Family Dwelling","Unknown","$117386"
"Lon","Schmidt",39.833,-106.32298,"Summit County","Lower Cataract Lake","Colorado","$10000","1-Single Family Dwelling","Residential","$163000"
"Lamont","Abshire",44.19109,-120.25092,"Crook County","Brummer Springs","Oregon","","","Residential","$237500"
"Lonny","Gibson",39.64115,-89.03647,"Christian County","Moweaqua","Illinois","","1-Single Family Dwelling","Residential","$402500"
"Tameka","Volkman",46.66106,-89.35487,"Ontonagon County","Whisky Hollow Creek","Michigan","$9000","1-Single Family Dwelling","Residential","$294900"
"Perry","Johnson",42.93614,-83.33661,"Lapeer County","Metamora","Michigan","$7000","1-Single Family Dwelling","Apartment/Group Living","$71200"
"Mariano","Lockman",35.74306,-111.57207,"Coconino County","Keetso Tank","Arizona","","1-Single Family Dwelling","Residential","$205200"
"Will","Kreiger",40.60072,-89.59975,"Tazewell County","Pekin","Illinois","$13000","1-Single Family Dwelling","Residential","$226500"
"Jamel","Rempel",41.78091,-76.81885,"Bradford County","Troy","Pennsylvania","","1-Single Family Dwelling","Residential","$87500"
"Winston","Kris",26.56534,-98.20362,"Hidalgo County","Laguna Seca","Texas","$11000","1-Single Family Dwelling","Residential","$199800"
"Marx","Williamson",32.29264,-87.92918,"Marengo County","Beckleys (historical)","Alabama","","20-49","Residential","$187500"
"Kelly","Hermann",37.91994,-89.82598,"Randolph County","Chester","Illinois","$5000","","Residential","$325000"
"Rich","Block",45.88579,-93.27189,"Kanabec County","Mora","Minnesota","$20000","","Apartment/Group Living","$116421"
"Nelson","Tromp",36.4692,-100.27653,"Beaver County","Darrouzett","Oklahoma","$22000","1-Single Family Dwelling","Residential","$139900"
"Galina","Marks",48.61669,-105.23471,"Daniels County","33N50E18BCBB01 Well","Montana","","1-Single Family Dwelling","Residential","$187500"
"Roberto","Hettinger",43.54514,-70.8407,"York County","Shapleigh","Maine","$44000","1-Single Family Dwelling","Residential","$112500"
"Nakia","Anderson",46.5577,-113.98038,"Ravalli County","Bitter Root (historical)","Montana","$53000","1-Single Family Dwelling","Residential","$172200"
"Bud","Johnson",43.2861,-90.2029,"Richland County","Sextonville","Wisconsin","","","Unknown","$182320"
"Myrna","Bailey",40.2481,-105.2885,"Boulder County","Lyons","Colorado","","1-Single Family Dwelling","Residential","$152500"
"Arnoldo","Schuster",44.71486,-88.05505,"Oconto County","Sobieski","Wisconsin","$12000","1-Single Family Dwelling","Residential","$477300"
"Gertrud","Lesch",35.94028,-112.10222,"Coconino County","Tusayan","Arizona","$13000","1-Single Family Dwelling","Residential","$341900"
"Odell","Bartell",47.32303,-97.02953,"Traill County","Kelso","North Dakota","$16000","","Residential","$266900"
"Quincy","Haley",36.08125,-79.27863,"Alamance County","Mebane","North Carolina","","1-Single Family Dwelling","Residential","$212400"
"Celsa","Carroll",34.69285,-99.33398,"Jackson County","Altus","Oklahoma","$14000","1-Single Family Dwelling","Residential","$161000"
"Angel","Steuber",37.29561,-96.09332,"Elk County","Hale","Kansas","$8000","3-Triplex","Duplex","$159301"
"Shelba","Dietrich",34.26861,-118.68203,"Ventura County","Chatsworth","California","$64000","1-Single Family Dwelling","Residential","$162500"
"Delma","Ritchie",36.76453,-83.34213,"Harlan County","Stanfill","Kentucky","$16000","1-Single Family Dwelling","Residential","$263800"
"Clarissa","Boehm",34.03751,-117.81256,"Los Angeles County","Diamond Bar","California","","1-Single Family Dwelling","Residential","$165100"
"Myong","Schumm",44.28749,-101.82709,"Haakon County","Hilland","South Dakota","$16000","","Residential","$162500"
"Lamont","Erdman",39.585,-75.66211,"New Castle County","Bear","Delaware","","5-9","Residential","$333600"
"Korey","Cummings",30.88787,-98.31156,"Burnet County","Persimmon Spring","Texas","$12000","1-Single Family Dwelling","Residential","$375000"
"Kittie","Mitchell",41.53012,-123.66062,"Del Norte County","Rock Creek Butte Point","California","$20000","","Residential","$71400"
"Jarred","Greenholt",37.31335,-105.13862,"Huerfano County","Blue Lakes Campground","Colorado","$14000","1-Single Family Dwelling","Residential","$272600"
"Fritz","Beatty",26.56857,-80.04313,"Palm Beach County","Boynton Beach","Florida","","1-Single Family Dwelling","Residential","$161166"
"Deeanna","O'Keefe",39.07256,-84.32188,"Hamilton County","Cherry Grove","Ohio","$5000","1-Single Family Dwelling","Residential","$198900"
"Natalie","Wintheiser",34.76953,-87.63225,"Colbert County","East Florence","Alabama","$9000","","Residential","$107900"
"Jerrod","Towne",35.97673,-88.64145,"Carroll County","Atwood","Tennessee","$14000","1-Single Family Dwelling","Residential","$73600"
"Hobert","Bednar",46.69746,-109.5699,"Fergus County","East Fork Blake Creek","Montana","$8000","1-Single Family Dwelling","Residential","$289500"
"Gillian","Zieme",32.97321,-82.8093,"Washington County","Sandersville","Georgia","","","Residential","$507000"
"Johnathan","Weimann",40.23254,-86.02915,"Tipton County","Tipton","Indiana","$46000","","Apartment/Group Living","$181817"
"Kip","White",36.86717,-119.73292,"Fresno County","Clovis","California","","","Residential","$112500"
"Darin","DuBuque",33.77012,-94.26048,"Little River County","Alleene","Arkansas","$6000","1-Single Family Dwelling","Residential","$367300"
"Kent","Barrows",31.98854,-81.25678,"Chatham County","Georgetown","Georgia","$7000","1-Single Family Dwelling","Residential","$115400"
"Inell","Ritchie",39.78344,-75.69966,"New Castle County","Hockessin","Delaware","$27000","1-Single Family Dwelling","Residential","$108700"
"Georgetta","Littel",47.73676,-123.16517,"Jefferson County","Dosewallips Campground","Washington","$14000","1-Single Family Dwelling","Residential","$130800"
"Jamar","Hermann",37.64692,-112.59132,"Garfield County","Juniper Park Resort","Utah","$14000","1-Single Family Dwelling","Residential","$161500"
"Ericka","Hudson",38.68816,-96.28047,"Lyon County","Agnes City Cemetery","Kansas","$14000","2-Duplex","Condominium","$50100"
"Dirk","Heidenreich",36.49225,-105.56501,"Taos County","Arroyo Seco","New Mexico","$4000","1-Single Family Dwelling","Apartment/Group Living","$159301"
"Juan","Kertzmann",39.7395,-84.17299,"Montgomery County","Dayton","Ohio","$6000","1-Single Family Dwelling","Residential","$728100"
"Haywood","Champlin",35.53542,-94.57388,"Sequoyah County","Belfonte","Oklahoma","$14000","1-Single Family Dwelling","Residential","$295200"
"Keenan","Quitzon",35.52258,-91.11651,"Jackson County","Stringers Mill","Arkansas","","","Residential","$137178"
"Janey","Cremin",44.08016,-102.28215,"Pennington County","David Kitterman Dam","South Dakota","$9000","1-Single Family Dwelling","Residential","$119100"
"Penelope","Quigley",44.34872,-68.98691,"Waldo County","Northport","Maine","$33000","1-Single Family Dwelling","Residential","$271980"
"Nickole","Bechtelar",47.32963,-116.55572,"Benewah County","Saint Maries","Idaho","$10000","1-Single Family Dwelling","Residential","$133900"
"Melodie","Cummerata",38.83178,-78.98836,"Rockingham County","Peru","Virginia","","1-Single Family Dwelling","Unknown","$162500"
"Mertie","Auer",34.61954,-83.52989,"Habersham County","Clarkesville","Georgia","","1-Single Family Dwelling","Residential","$183200"
"Trevor","Kerluke",60.20139,-149.47139,"Kenai Peninsula Borough","Bear Creek","Alaska","","1-Single Family Dwelling","Residential","$182200"
"Selene","Harris",36.52083,-91.25874,"Oregon County","Myrtle","Missouri","","","Condominium","$137500"
"Kaycee","Collins",41.01001,-96.9703,"Seward County","Garland","Nebraska","$16000","1-Single Family Dwelling","Residential","$178900"
"Christinia","Schaefer",41.43145,-79.65922,"Venango County","Oil City","Pennsylvania","","","Apartment/Group Living","$271980"
"Lennie","Hammes",38.18749,-107.45895,"Hinsdale County","Little Cimarron Trail","Colorado","$10000","1-Single Family Dwelling","Residential","$52900"
"Monserrate","Ledner",34.79283,-101.54712,"Armstrong County","Wayside","Texas","$7000","1-Single Family Dwelling","Residential","$137500"
"Dinah","Beatty",45.90243,-111.1944,"Gallatin County","Hillman","Montana","$30000","1-Single Family Dwelling","Residential","$246794"
"Nickolas","Okuneva",28.0734,-81.8514,"Polk County","Auburndale","Florida","$20000","1-Single Family Dwelling","Residential","$237500"
"Scotty","Ritchie",36.45753,-112.86296,"Mohave County","Nininger Tank","Arizona","$3000","1-Single Family Dwelling","Residential","$72307"
"Mohammad","Howell",39.56075,-119.39017,"Storey County","Roderick (historical)","Nevada","$9000","1-Single Family Dwelling","Residential","$300100"
"Kayleigh","Borer",44.69694,-73.46556,"Clinton County","Plattsburgh","New York","$8000","","Residential","$409200"
"Natashia","Dickens",43.99546,-115.10564,"Boise County","North Raker","Idaho","","1-Single Family Dwelling","Residential","$80100"
"Ollie","Daniel",40.37701,-79.77227,"Westmoreland County","Monroeville","Pennsylvania","$14000","1-Single Family Dwelling","Residential","$456300"
"Amee","Batz",37.91842,-76.86661,"Essex County","Tappahannock","Virginia","$13000","1-Single Family Dwelling","Residential","$142300"
"Mitzi","Rolfson",56.2075,-131.43972,"City and Borough of Wrangell","Mount Tyee","Alaska","","1-Single Family Dwelling","Apartment/Group Living","$137500"
"Nella","Runte",39.05795,-120.84494,"Placer County","Foresthill","California","$5000","1-Single Family Dwelling","Residential","$185300"
"Larry","Grimes",32.2313,-81.83067,"Evans County","Edna","Georgia","","1-Single Family Dwelling","Residential","$112500"
"Antony","Waters",36.62392,-100.43653,"Beaver County","Elmwood","Oklahoma","$6000","1-Single Family Dwelling","Residential","$305100"
"Marshall","Green",38.91428,-79.5095,"Randolph County","Harman","West Virginia","$17000","1-Single Family Dwelling","Unknown","$208028"
"Lashaunda","Greenholt",31.61322,-89.52396,"Covington County","Collins","Mississippi","","","Residential","$83600"
"Inger","Oberbrunner",30.46767,-102.58654,"Pecos County","Busher Tank","Texas","$17000","1-Single Family Dwelling","Residential","$222800"
"Crystle","Abernathy",41.80698,-87.60199,"Cook County","Chicago","Illinois","$8000","1-Single Family Dwelling","Residential","$187200"
"Mary","Medhurst",31.34295,-89.37562,"Lamar County","West Hattiesburg","Mississippi","$19000","1-Single Family Dwelling","Residential","$141300"
"Noel","D'Amore",33.88289,-90.07564,"Tallahatchie County","Leverett","Mississippi","$7000","1-Single Family Dwelling","Residential","$129000"
"Gisela","Hintz",29.78771,-89.97201,"Plaquemines Parish","Belle Chasse","Louisiana","$26000","1-Single Family Dwelling","Residential","$99900"
"Shelby","Langosh",44.28913,-91.06654,"Jackson County","Taylor","Wisconsin","","1-Single Family Dwelling","Residential","$233100"
"Ehtel","Waelchi",38.12195,-102.85019,"Bent County","McClave","Colorado","$13000","1-Single Family Dwelling","Residential","$110800"
"Lon","Kilback",36.97578,-116.25227,"Nye County","Shoshone Jeep Trail","Nevada","$14000","1-Single Family Dwelling","Residential","$299000"
"Rocky","Koepp",48.27444,-107.88651,"Phillips County","29N30E18BBDC01 Well","Montana","","1-Single Family Dwelling","Residential","$140000"
"Sherwood","Heathcote",37.28244,-121.2466,"Stanislaus County","Orestimba Narrows","California","$8000","1-Single Family Dwelling","Residential","$202157"
"Delisa","Collier",37.75854,-120.94716,"San Joaquin County","Riverbank","California","$15000","1-Single Family Dwelling","Apartment/Group Living","$162500"
"Noelle","Wehner",45.36844,-122.82234,"Washington County","Sherwood","Oregon","","1-Single Family Dwelling","Unknown","$162500"
"Man","Quitzon",43.27618,-73.82262,"Warren County","Corinth","New York","$26000","1-Single Family Dwelling","Residential","$217500"
"Kristi","Wintheiser",41.37239,-90.7249,"Rock Island County","Andalusia","Illinois","$11000","1-Single Family Dwelling","Apartment/Group Living","$245321"
"Jewel","Witting",48.64613,-101.21794,"Bottineau County","Hurd","North Dakota","$7000","1-Single Family Dwelling","Residential","$228181"
"Augustine","Steuber",34.49482,-83.06793,"Franklin County","Gumlog","Georgia","","1-Single Family Dwelling","Residential","$186800"
"Catheryn","Larson",45.60187,-111.89804,"Madison County","Pony","Montana","","1-Single Family Dwelling","Unknown","$194601"
"Olen","Heaney",58.50471,-155.92035,"NULL","Lake Brooks","NULL","$15000","1-Single Family Dwelling","Residential","$187200"
"Lisbeth","Schaden",46.18656,-119.57503,"Benton County","Benton County Fire Protection District 5 Station 520","Washington","","5-9","Residential","$77300"
"Lilliana","Schamberger",44.64107,-91.51266,"Eau Claire County","Eleva","Wisconsin","$20000","","Residential","$250500"
"Rhett","Hackett",37.75029,-81.22155,"Raleigh County","Beckley","West Virginia","$24000","1-Single Family Dwelling","Residential","$228976"
"Paulita","Carter",36.51537,-82.89211,"Hawkins County","Aunt (historical)","Tennessee","$13000","","Residential","$136400"
"Donnell","O'Connell",36.94123,-81.09176,"Wythe County","Wytheville","Virginia","","1-Single Family Dwelling","Residential","$117900"
"Heidy","Treutel",40.6417,-74.38568,"Union County","Plainfield","New Jersey","$20000","1-Single Family Dwelling","Residential","$252800"
"Julie","Abernathy",35.82138,-106.67869,"Sandoval County","Jemez Springs","New Mexico","$9000","1-Single Family Dwelling","Residential","$297200"
"Kina","Walter",37.80163,-114.57527,"Lincoln County","Bennett Pass","Nevada","$4000","1-Single Family Dwelling","Residential","$98200"
"Danita","O'Hara",37.0865,-82.03513,"Buchanan County","Venia","Virginia","$18000","1-Single Family Dwelling","Residential","$325000"
"Marcel","Kunde",45.50652,-118.42135,"Umatilla County","Meacham","Oregon","$18000","1-Single Family Dwelling","Residential","$144500"
"Suzanne","Ferry",44.41562,-75.10298,"St. Lawrence County","Palmerville","New York","$8000","1-Single Family Dwelling","Residential","$89400"
"Kraig","Russel",47.53961,-117.84328,"Lincoln County","Waukon","Washington","$15000","1-Single Family Dwelling","Residential","$425000"
"Teddy","Walter",44.40054,-101.75626,"Haakon County","Hartley","South Dakota","","1-Single Family Dwelling","Residential","$111300"
"Anton","Mertz",39.53397,-80.60982,"Wetzel County","Jacksonburg","West Virginia","","1-Single Family Dwelling","Residential","$177700"
"Star","Kuhn",42.73639,-84.4225,"Ingham County","Okemos","Michigan","$18000","1-Single Family Dwelling","Residential","$187797"
"Felix","Batz",37.20961,-94.56335,"Jasper County","Carl Junction","Missouri","$36000","1-Single Family Dwelling","Residential","$405900"
"Aaron","Emard",42.87484,-123.78314,"Douglas County","Lipp Creek","Oregon","","1-Single Family Dwelling","Apartment/Group Living","$212200"
"Zula","Schimmel",39.71843,-77.60499,"Washington County","Waynesboro","Maryland","$11000","","Residential","$186100"
"Malik","Gusikowski",39.1,-95.20692,"Jefferson County","O'Neil School","Kansas","","1-Single Family Dwelling","Residential","$203300"
"Archie","O'Conner",33.04043,-81.71206,"Burke County","Girard","Georgia","$18000","1-Single Family Dwelling","Residential","$220600"
"Numbers","Mills",37.67664,-113.05717,"Iron County","Cedar City","Utah","","1-Single Family Dwelling","Residential","$180300"
"Shani","Kohler",38.9465,-95.69144,"Shawnee County","Cullen Village","Kansas","$14000","1-Single Family Dwelling","Residential","$362800"
"Giovanni","Ritchie",37.87611,-106.54559,"Saguache County","La Garita Park","Colorado","$6000","1-Single Family Dwelling","Residential","$162500"
"Dion","Balistreri",32.96635,-84.21317,"Upson County","Topeka Junction","Georgia","","1-Single Family Dwelling","Residential","$186100"
"Jesus","Jones",36.60008,-84.1116,"Whitley County","Jellico","Kentucky","$6000","1-Single Family Dwelling","Residential","$133400"
"Lovetta","Parisian",44.58869,-67.74778,"Washington County","Addison","Maine","$7000","","Residential","$123200"
"Jerold","Murray",28.87969,-81.29451,"Volusia County","Deltona","Florida","$19000","","Apartment/Group Living","$87500"
"Gil","Emmerich",40.24107,-77.89952,"Huntingdon County","Rockhill","Pennsylvania","$21000","3-Triplex","Residential","$300800"
"Augustine","Fisher",38.47589,-85.93275,"Clark County","Borden","Indiana","","1-Single Family Dwelling","Residential","$185500"
"Hue","Senger",45.84887,-86.33875,"Schoolcraft County","Thompson","Michigan","$16000","1-Single Family Dwelling","Residential","$294200"
"Bulah","Will",47.30732,-122.22845,"King County","Auburn","Washington","$11000","1-Single Family Dwelling","Residential","$64000"
"Latisha","Wunsch",39.79168,-87.72887,"Edgar County","Chrisman","Illinois","$12000","1-Single Family Dwelling","Residential","$174218"
"Rocco","Fay",46.0618,-118.61582,"Walla Walla County","Touchet","Washington","$11000","20-49","Residential","$118300"
"Marvin","Keebler",44.89123,-123.73956,"Lincoln County","North Fork Gravel Creek","Oregon","$12000","1-Single Family Dwelling","Residential","$320000"
"Chad","Turcotte",43.33784,-78.38891,"Orleans County","Lyndonville","New York","$20000","1-Single Family Dwelling","Residential","$167400"
"Sung","Dietrich",42.72079,-109.01679,"Fremont County","Three Forks Park","Wyoming","$11000","1-Single Family Dwelling","Apartment/Group Living","$96315"
